iter	Passed	Remaining
399	65320	424582
400	65485	424430
401	65658	424328
402	65817	424138
403	65965	423879
404	66113	423616
405	66313	423685
406	66493	423629
407	66650	423427
408	66804	423200
409	66977	423100
410	67151	423008
411	67320	422877
412	67486	422732
413	67655	422599
414	67815	422418
415	67969	422192
416	68125	421988
417	68282	421781
418	68432	421536
419	68589	421336
420	68740	421095
421	68911	420980
422	69087	420897
423	69274	420874
424	69451	420795
425	69623	420680
426	69792	420554
427	69952	420370
428	70109	420168
429	70252	419879
430	70398	419612
431	70552	419393
432	70708	419187
433	70892	419150
434	71069	419063
435	71244	418969
436	71418	418869
437	71584	418720
438	71753	418586
439	71907	418373
440	72060	418146
441	72209	417897
442	72369	417714
443	72516	417460
444	72675	417272
445	72840	417117
446	73008	416980
447	73176	416843
448	73340	416686
449	73515	416589
450	73678	416420
451	73831	416202
452	73984	415980
453	74143	415788
454	74284	415503
455	74436	415278
456	74592	415071
457	74740	414827
458	74913	414716
459	75080	414575
460	75253	414466
461	75426	414355
462	75608	414293
463	75774	414148
464	75926	413924
465	76086	413738
466	76239	413524
467	76388	413278
468	76540	413056
469	76684	412789
470	76847	412625
471	77013	412477
472	77186	412369
473	77354	412231
474	77526	412112
475	77694	411979
476	77856	411807
477	78021	411655
478	78177	411452
479	78330	411236
480	78480	411000
481	78636	410801
482	78795	410617
483	78975	410543
484	79142	410399
485	79320	410309
486	79501	410240
487	79677	410145
488	79837	409963
489	79990	409747
490	80139	409512
491	80299	409330
492	80445	409079
493	80598	408863
494	80751	408649
495	80929	408561
496	81102	408449
497	81277	408347
498	81480	408381
499	81651	408256
500	81814	408093
501	81980	407942
502	82135	407737
503	82282	407493
504	82430	407255
505	82578	407014
506	82742	406855
507	82915	406742
508	83092	406647
509	83251	406465
510	83425	406353
511	83585	406174
512	83753	406031
513	83904	405811
514	84049	405560
515	84210	405383
516	84359	405151
517	84515	404956
518	84665	404730
519	84829	404570
520	85014	404510
521	85177	404349
522	85351	404236
523	85538	404184
524	85703	404032
525	85871	403888
526	86047	403786
527	86225	403689
528	86404	403601
529	86567	403438
530	86752	403372
531	86895	403116
532	87049	402907
533	87193	402656
534	87350	402466
535	87497	402226
536	87651	402021
537	87816	401867
